"date","infections_mean","infections_sd","inf_lo01","inf_hi99","inf_lo05","inf_hi95","inf_lo10","inf_hi90","R_mean","R_sd","R_lo01","R_hi99","R_lo05","R_hi95","R_lo10","R_hi90","crossing_prob","end_first_ix","end_first_date","start_second_ix","start_second_date","country","confirm","first_low_ix","second_max_ix","first_low_date","second_max_date"
2020-02-25,7.32232679904885,1.37239328544809,4.54176371790548,11.0281113905887,5.29321089004814,9.70185928208534,5.65721685735035,9.12061776362574,2.54948926680147,0.370664366626975,1.75260755526321,3.51095375206513,1.97323822708375,3.18787912031477,2.09115822399798,3.0233129235489,1,40,2020-04-04,109,2020-06-12,"Austria",2,40,116,2020-04-04,2020-06-19
2020-02-26,9.9970215420326,1.67301593423808,6.67696563138819,14.4270214499171,7.4819449165202,12.9151790925593,7.9646152447853,12.190995392029,2.54338807867563,0.322865952423625,1.83308109039013,3.36297191939342,2.03747349323481,3.09624034050022,2.13922902115202,2.95905126676928,1,40,2020-04-04,109,2020-06-12,"Austria",0,40,116,2020-04-04,2020-06-19
2020-02-27,13.7903815711114,2.10782730086829,9.59285533563623,19.3096664523113,10.5868156570375,17.4638971258844,11.240167038304,16.5758217513416,2.53531824065576,0.278492346576372,1.92416719739916,3.22231249933173,2.09491590067493,3.0068070148723,2.18709371718938,2.89370080266844,1,40,2020-04-04,109,2020-06-12,"Austria",3,40,116,2020-04-04,2020-06-19
2020-02-28,19.0470188525825,2.74604975239076,13.5159287593028,26.1964634051994,14.9041364587115,23.8510937767025,15.6785245112178,22.6503667897143,2.52425495040878,0.238071195776558,2.00179487266511,3.11005240479601,2.14456183190985,2.92956689939591,2.22703673616163,2.83051961852736,1,40,2020-04-04,109,2020-06-12,"Austria",2,40,116,2020-04-04,2020-06-19
2020-02-29,26.2503198042124,3.65846121428527,18.8559646039998,35.7615279979765,20.6914943227772,32.6484514775668,21.7465744543586,31.0301686287872,2.50910111636698,0.202220796466681,2.06980988099203,3.01038259436017,2.1822469947795,2.85272254526243,2.25363081254755,2.76802827871377,1,40,2020-04-04,109,2020-06-12,"Austria",3,40,116,2020-04-04,2020-06-19
2020-03-01,36.0227007447658,4.91425437790264,25.9920089501183,48.9553237868355,28.5058117176105,44.5147228854891,29.9293736485158,42.4660337881101,2.48873527457875,0.171609587460618,2.10569208250429,2.90664786249712,2.21448582757449,2.77486655706326,2.27239915047767,2.71047164488489,1,40,2020-04-04,109,2020-06-12,"Austria",4,40,116,2020-04-04,2020-06-19
2020-03-02,49.1317183630264,6.57786307462689,35.5411204353921,66.2686647085577,39.0646333862581,60.3934459156206,40.9606683726926,57.7825514219931,2.46207018588703,0.146850595733455,2.12783476430383,2.82017170276512,2.22933936173922,2.70862827369993,2.27800593977624,2.65297853522845,1,40,2020-04-04,109,2020-06-12,"Austria",4,40,116,2020-04-04,2020-06-19
2020-03-03,66.4715278380184,8.7059783518927,48.7678843991345,89.2750041797692,53.1411411322991,81.4196592495486,55.6877011121586,77.934417794081,2.42811890147522,0.12829445924665,2.13865597822785,2.73576267037202,2.22435168169817,2.64071097527316,2.26638310003667,2.59601319660614,1,40,2020-04-04,109,2020-06-12,"Austria",6,40,116,2020-04-04,2020-06-19
2020-03-04,89.0634396371883,11.3462170641678,65.9177636393621,118.792571097531,71.8231457318285,108.839402105677,75.183548937131,103.834786997601,2.38606368526648,0.115735183262372,2.12520134512309,2.66900496806528,2.20120646665941,2.57937762459635,2.24014550766336,2.53483902379933,1,40,2020-04-04,109,2020-06-12,"Austria",5,40,116,2020-04-04,2020-06-19
2020-03-05,117.953462134677,14.5390282929037,88.2173646929989,156.133931280738,96.0147659627059,143.371242776741,100.149419415761,136.833047577857,2.33532271675411,0.108204695176984,2.09166931059275,2.60035473684106,2.16481332722314,2.51868886739269,2.20022637186053,2.4743366201229,1,40,2020-04-04,109,2020-06-12,"Austria",12,40,116,2020-04-04,2020-06-19
2020-03-06,154.101368903496,18.3252849442633,116.755939870344,202.232949492205,126.375159946198,186.106778418501,131.74666442451,178.04298291228,2.2756095747719,0.104116015796502,2.0479548472216,2.54354742117525,2.11199638144399,2.45156691697987,2.14815388440317,2.40966589580056,1,40,2020-04-04,109,2020-06-12,"Austria",33,40,116,2020-04-04,2020-06-19
2020-03-07,198.20504238485,22.7558977063143,152.813097881459,257.553625940824,163.344421843513,238.323990727147,170.616745676642,228.099393003213,2.20698041355312,0.101733877053281,1.98847754412485,2.47311136355735,2.05162502789316,2.38009245467213,2.08180216340779,2.33829026974868,1,40,2020-04-04,109,2020-06-12,"Austria",25,40,116,2020-04-04,2020-06-19
2020-03-08,250.480655020949,27.8919634569461,194.844221368978,323.463787058414,207.759855454605,299.196419123144,216.35784292288,287.077604830149,2.1298632577418,0.0996300247221099,1.92282542772411,2.39318358282533,1.97708549777027,2.30231154635107,2.00912337934728,2.25959822479592,1,40,2020-04-04,109,2020-06-12,"Austria",3,40,116,2020-04-04,2020-06-19
