"country_name","windowsize","bandwidth","nr_arcoefs","nr_macoefs","arima_convergence_warning","variance_tau","variance_first_diff_tau","autocovariance_tau","autocorrelation_tau","decay_time_tau","mean_tau","index_of_dispersion_tau","coefficient_of_variation_tau","skewness_tau","kurtosis_tau","variance_pvalue","variance_first_diff_pvalue","autocovariance_pvalue","autocorrelation_pvalue","decay_time_pvalue","mean_pvalue","index_of_dispersion_pvalue","coefficient_of_variation_pvalue","skewness_pvalue","kurtosis_pvalue","variance_pvalue_abs","variance_first_diff_pvalue_abs","autocovariance_pvalue_abs","autocorrelation_pvalue_abs","decay_time_pvalue_abs","mean_pvalue_abs","index_of_dispersion_pvalue_abs","coefficient_of_variation_pvalue_abs","skewness_pvalue_abs","kurtosis_pvalue_abs","backward_only","cut_first_window"
"Austria",5,2,2,2,0,-0.492,0.031,0.098,-0.197,-0.385,-0.646,-0.18,0.121,-0.036,0.079,0.996,0.22,0.24,0.85,0.998,1,0.996,0.08,0.64,0.246,0.008,0.506,0.576,0.276,0.002,0,0.016,0.158,0.74,0.582,TRUE,TRUE
"Belgium",5,2,4,5,1,-0.511,0.03,0.158,-0.09,-0.127,-0.383,-0.465,-0.215,0.108,0.01,0.99,0.296,0.208,0.582,0.706,1,1,0.988,0.2,0.442,0.018,0.692,0.522,0.698,0.491,0,0,0.018,0.392,0.964,TRUE,TRUE
"Bulgaria",5,2,1,1,1,-0.091,-0.105,-0.267,-0.41,-0.137,-0.621,0.432,0.547,0.291,-0.234,0.636,0.682,0.72,0.894,0.64,1,0,0,0.106,0.722,0.796,0.554,0.508,0.224,0.659,0,0,0,0.194,0.444,TRUE,TRUE
"Croatia",5,2,1,1,0,-0.541,0.03,0.565,0.049,NA,-0.354,0.082,0.114,0.07,0.175,0.948,0.344,0.032,0.424,NA,1,0.31,0.244,0.324,0.24,0.114,0.812,0.088,0.882,NA,0,0.556,0.428,0.732,0.546,TRUE,TRUE
"Cyprus",5,2,2,2,1,-0.277,0.112,0.243,0.024,0.077,-0.458,-0.077,0.158,0.123,-0.123,0.974,0.016,0.064,0.434,0.244,0.994,0.732,0.058,0.078,0.81,0.064,0.016,0.128,0.888,0.496,0.008,0.49,0.116,0.16,0.352,TRUE,TRUE
"Czechia",5,2,2,2,1,-0.393,-0.097,-0.197,-0.242,-0.239,-0.173,-0.333,-0.242,0.197,-0.195,0.964,0.954,0.836,0.884,0.919,0.996,1,1,0.062,0.874,0.06,0.096,0.354,0.266,0.177,0.006,0,0,0.118,0.272,TRUE,TRUE
"Denmark",5,2,1,1,1,-0.644,-0.289,0.733,0.733,NA,-0.629,-0.422,0.022,0.111,0.244,0.91,0.754,0.082,0.048,NA,1,0.97,0.524,0.434,0.25,0.306,0.512,0.228,0.146,NA,0,0.074,1,0.802,0.656,TRUE,TRUE
"Estonia",5,2,1,1,1,0.066,0.24,-0.128,0.001,0.058,-0.124,0.063,0.027,0.275,0.263,0.444,0.004,0.652,0.492,0.387,0.936,0.274,0.382,0.028,0.1,0.786,0.004,0.598,0.992,0.798,0.11,0.564,0.788,0.058,0.206,TRUE,TRUE
"Finland",5,2,2,1,1,-0.199,0.03,0.33,0.296,0.22,-0.339,-0.069,0.112,-0.034,0.218,0.826,0.314,0.066,0.076,0.027,1,0.74,0.102,0.584,0.08,0.402,0.694,0.168,0.18,0.119,0,0.464,0.23,0.794,0.216,TRUE,TRUE
"France",5,2,5,5,1,0.146,0.097,-0.182,-0.201,-0.145,-0.057,0.229,0.263,0.18,0.158,0.222,0.006,0.878,0.916,0.934,0.986,0,0,0.02,0.082,0.386,0.006,0.222,0.232,0.124,0.022,0,0,0.03,0.196,TRUE,TRUE
